1000,100,0.000134
1000,500,0.000145
1000,1000,0.000183
2000,100,0.000303
2000,500,0.000281
2000,1000,0.000278
5000,100,0.000810
5000,500,0.000799
5000,1000,0.000810
10000,100,0.003369
10000,500,0.001713
10000,1000,0.001683
1000,100,0.000162
2000,100,0.000412
5000,100,0.000714
10000,100,0.001427
1000,500,0.000123
2000,500,0.002124
5000,500,0.000694
10000,500,0.001927
1000,1000,0.000282
2000,1000,0.000296
5000,1000,0.000991
10000,1000,0.001526
1000,100,0.000116
1000,100,0.000107
1000,100,0.000099
1000,500,0.000127
1000,500,0.000101
1000,500,0.000112
1000,1000,0.000129
1000,1000,0.000099
1000,1000,0.000132
2000,100,0.000241
2000,100,0.000220
2000,100,0.000248
2000,500,0.000240
2000,500,0.000231
2000,500,0.000210
2000,1000,0.000240
2000,1000,0.000202
2000,1000,0.000569
5000,100,0.000705
5000,100,0.000662
5000,100,0.000648
5000,500,0.000672
5000,500,0.000586
5000,500,0.000620
5000,1000,0.000713
5000,1000,0.000601
5000,1000,0.000599
10000,100,0.001630
10000,100,0.001205
10000,100,0.001181
10000,500,0.001566
10000,500,0.001278
10000,500,0.001207
10000,1000,0.001558
10000,1000,0.001261
10000,1000,0.001331
1000,100,0.000143
1000,500,0.000283
1000,1000,0.000123
2000,100,0.000266
2000,500,0.000262
2000,1000,0.000332
5000,100,0.000906
5000,500,0.000753
5000,1000,0.000914
10000,100,0.001763
10000,500,0.001661
10000,1000,0.001624
1000,100,0.000147
2000,100,0.000307
5000,100,0.000669
10000,100,0.001421
1000,500,0.000120
2000,500,0.000257
5000,500,0.000727
10000,500,0.002587
1000,1000,0.000139
2000,1000,0.000579
5000,1000,0.000641
10000,1000,0.001407
1000,100,0.000119
1000,100,0.000109
1000,100,0.000103
1000,500,0.000150
1000,500,0.000107
1000,500,0.000134
1000,1000,0.000394
1000,1000,0.000102
1000,1000,0.000106
2000,100,0.000281
2000,100,0.000280
2000,100,0.000208
2000,500,0.000242
2000,500,0.000248
2000,500,0.000217
2000,1000,0.000243
2000,1000,0.000502
2000,1000,0.000237
5000,100,0.000683
5000,100,0.000702
5000,100,0.000649
5000,500,0.001096
5000,500,0.001593
5000,500,0.001062
5000,1000,0.000683
5000,1000,0.000631
5000,1000,0.000582
10000,100,0.001548
10000,100,0.001246
10000,100,0.001450
10000,500,0.007090
10000,500,0.001230
10000,500,0.003898
10000,1000,0.003793
10000,1000,0.002263
10000,1000,0.003871
