1000,100,0.000012
1000,500,0.000055
1000,1000,0.000146
2000,100,0.000017
2000,500,0.000074
2000,1000,0.000133
5000,100,0.000023
5000,500,0.000124
5000,1000,0.000172
10000,100,0.000027
10000,500,0.000125
10000,1000,0.000302
1000,100,0.000016
2000,100,0.000019
5000,100,0.000043
10000,100,0.000029
1000,500,0.000074
2000,500,0.000096
5000,500,0.000096
10000,500,0.000130
1000,1000,0.000098
2000,1000,0.000138
5000,1000,0.000177
10000,1000,0.000234
1000,100,0.000014
1000,100,0.000012
1000,100,0.000014
1000,500,0.000214
1000,500,0.000061
1000,500,0.000082
1000,1000,0.000147
1000,1000,0.000092
1000,1000,0.000104
2000,100,0.000016
2000,100,0.000020
2000,100,0.000027
2000,500,0.000138
2000,500,0.000179
2000,500,0.000087
2000,1000,0.000214
2000,1000,0.000264
2000,1000,0.000193
5000,100,0.000028
5000,100,0.000024
5000,100,0.000031
5000,500,0.000161
5000,500,0.000107
5000,500,0.000099
5000,1000,0.000206
5000,1000,0.000169
5000,1000,0.000193
10000,100,0.000025
10000,100,0.000026
10000,100,0.000025
10000,500,0.000100
10000,500,0.000119
10000,500,0.000103
10000,1000,0.000207
10000,1000,0.000206
10000,1000,0.000186
1000,100,0.000012
1000,500,0.000060
1000,1000,0.000133
2000,100,0.000016
2000,500,0.000080
2000,1000,0.000126
5000,100,0.000024
5000,500,0.000089
5000,1000,0.000173
10000,100,0.000024
10000,500,0.000102
10000,1000,0.000252
1000,100,0.000013
2000,100,0.000025
5000,100,0.000023
10000,100,0.000028
1000,500,0.000047
2000,500,0.000072
5000,500,0.000105
10000,500,0.000148
1000,1000,0.000116
2000,1000,0.000123
5000,1000,0.000165
10000,1000,0.000251
1000,100,0.000016
1000,100,0.000017
1000,100,0.000012
1000,500,0.000072
1000,500,0.000056
1000,500,0.000069
1000,1000,0.000127
1000,1000,0.000105
1000,1000,0.000120
2000,100,0.000020
2000,100,0.000023
2000,100,0.000024
2000,500,0.000175
2000,500,0.000077
2000,500,0.000088
2000,1000,0.000174
2000,1000,0.000165
2000,1000,0.000173
5000,100,0.000027
5000,100,0.000057
5000,100,0.000029
5000,500,0.000093
5000,500,0.000098
5000,500,0.000093
5000,1000,0.000200
5000,1000,0.000186
5000,1000,0.000304
10000,100,0.000025
10000,100,0.000026
10000,100,0.000030
10000,500,0.000102
10000,500,0.000110
10000,500,0.000106
10000,1000,0.000265
10000,1000,0.000199
10000,1000,0.000198
